"","Week_end","Responses","Self_Report","Other_Report","Vaccinated_Respondents","Clinical_Staff","Clinical_Staff_Vaccinated","ILI_Vaccinated","ILI_Unvaccinated","ILI_wAbsence_Vaccinated","ILI_wAbsence_Unvaccinated","fileref"
"1","2010-07-18",8954,6370,2584,7442,2954,2181,3.4,3.2,1.9,1.7,"201029"
"2","2010-07-25",9069,6450,2619,5798,2057,1599,3.1,3.2,1.8,2,"201030"
"3","2010-08-01",9305,6566,2739,6013,2145,1695,2.8,3.4,1.8,3.4,"201031"
"4","2010-08-08",9684,6905,2779,6219,2226,1727,2.8,3.9,1.7,2,"201032"
"5","2010-08-15",10113,7204,2909,6478,2275,1771,3.1,4.2,1.8,2.5,"201033"
"6","2010-08-22",9966,7064,2902,6390,2275,1775,3.2,4.2,2,2.5,"201034"
"7","2010-08-29",9649,6889,2760,6268,2182,1723,3.3,3.9,1.8,2.1,"201035"
"8","2010-09-05",8924,6396,2528,5805,1999,1588,3.4,4.2,2.1,2.6,"201036"
"9","2010-09-12",9378,6726,2652,6091,2135,1686,2.9,3.5,1.6,2.3,"201037"
"10","2010-09-19",9357,6670,2687,6047,2106,1655,2.8,3.2,1.6,1.7,"201038"
"11","2010-09-26",8783,6298,2485,5695,2006,1575,2.9,2.9,1.7,2,"201039"
"12","2010-10-03",8755,6288,2467,5695,2023,1585,2.2,2.9,1.3,1.9,"201040"
"13","2010-10-10",8951,6420,2531,5831,1989,1559,2.1,2.3,NA,NA,"201041"
"14","2010-10-17",9109,6559,2550,5904,2059,1596,2,2.1,1,1.1,"201042"
"15","2011-05-08",9178,6197,2981,5783,2020,1580,2.4,3.2,1.1,1.4,"201120"
"16","2011-05-15",9804,6706,3098,6191,2193,1725,2.4,3,1.2,1.5,"201121"
"17","2011-05-22",10301,7074,3227,6582,2304,1823,2.7,3.3,1.3,1.7,"201122"
"18","2011-05-29",10440,7162,3278,6729,2407,1910,2.7,3.7,1.4,1.8,"201123"
"19","2011-06-05",10496,7183,3313,6813,2417,1945,2.9,3.9,1.5,1.9,"201124"
"20","2011-06-19",10569,7278,3291,6926,2475,1983,2.6,3.4,1.3,1.9,"201126"
"21","2011-06-26",10511,7200,3311,6911,2447,1966,3.2,3.6,1.6,1.6,"201127"
"22","2011-07-03",10273,7083,3190,6749,2398,1916,3.4,3.6,1.9,1.9,"201128"
"23","2011-07-10",10240,7050,3190,6722,2405,1919,2.9,3.6,1.5,1.4,"201129"
"24","2011-07-17",10180,7060,3120,6693,2375,1891,3.1,3.1,1.8,1.5,"201130"
"25","2011-07-24",10668,7293,3375,7013,2461,1970,2.4,3.5,1.3,1.7,"201131"
"26","2011-07-31",10530,7219,3311,6931,2459,1975,2.9,3.2,1.5,1.8,"201132"
"27","2011-08-07",10579,7237,3342,6944,2406,1931,3,3.7,2,2.1,"201133"
"28","2011-08-14",10448,7192,3256,6890,2412,1935,3.6,4,2.1,2.6,"201134"
"29","2011-08-21",10137,6968,3169,5652,2315,1689,3.1,3.7,1.7,1.7,"201135"
"30","2011-08-28",10311,7106,3205,5775,2394,1747,3.3,3.3,1.9,1.8,"201136"
"31","2011-09-04",10186,6979,3207,5680,2324,1699,2.9,3.3,1.6,1.6,"201137"
"32","2011-09-11",10150,6943,3207,5690,2324,1700,2.8,3.3,1.6,1.4,"201138"
"33","2011-09-18",10069,6875,3194,5619,2320,1702,2.6,3,1.6,1.6,"201139"
"34","2011-09-25",9752,6710,3042,5487,2279,1675,2.7,2.6,1.5,1.4,"201140"
"35","2011-10-02",9250,6437,2813,5250,2146,1578,2.6,2.2,1.3,1.3,"201141"
"36","2011-10-09",9958,6836,3122,5596,2308,1690,2.2,2.3,1.2,1.2,"201142"
"37","2011-10-16",10151,6947,3204,5654,2320,1692,2.3,2.4,1.1,1.3,"201143"
"38","2012-05-13",11814,7681,4133,5497,2394,1595,2.2,3.2,1.2,1.7,"201220"
"39","2012-05-20",10757,6950,3807,5144,1995,1348,2.8,3.1,1.5,1.8,"201221"
"40","2012-05-27",12286,8037,4249,6090,2492,1722,2.8,4.3,1.5,2.7,"201222"
"41","2012-06-03",12379,8118,4261,6257,2554,1775,2.8,4.3,1.7,2.6,"201223"
"42","2012-06-10",12205,7985,4220,6285,2514,1777,2.9,3.1,1.7,1.7,"201224"
"43","2012-06-17",12624,8289,4335,6562,2596,1860,3,3.8,1.7,2.3,"201225"
"44","2012-06-24",12779,8374,4405,6680,2623,1889,3.1,4.5,1.8,2.6,"201226"
"45","2012-07-01",12099,7992,4107,6400,2522,1792,3.5,4.8,2.1,2.9,"201227"
"46","2012-07-08",12219,8049,4170,6512,2590,1866,3.6,4.7,2.2,2.8,"201228"
"47","2012-07-15",12795,8364,4431,6842,2680,1954,4.4,4.8,2.6,3.1,"201229"
"48","2012-07-22",12876,8412,4464,6876,2670,1956,3.8,4.5,2.6,2.8,"201230"
"49","2012-07-29",12818,8395,4423,6921,2633,1933,3.8,3.9,2.5,2.4,"201231"
"50","2012-08-05",12862,8389,4473,6931,2635,1925,3.6,4.4,2.4,2.9,"201232"
"51","2012-08-12",12863,8387,4476,6950,2641,1941,3.9,4.9,2.5,3.2,"201233"
"52","2012-08-19",12728,8335,4393,6914,2599,1931,3.5,4.4,2.4,2.9,"201234"
"53","2012-08-26",12669,8276,4393,6900,2586,1905,3.2,3.6,1.9,2.3,"201235"
"54","2012-09-02",12701,8265,4436,6905,2622,1931,3,3.2,1.9,1.9,"201236"
"55","2012-09-09",12462,8130,4332,6756,2547,1858,2.5,3.3,1.4,1.9,"201237"
"56","2012-09-16",12471,8139,4332,6761,2575,1886,2.1,2.5,1.2,1.4,"201238"
"57","2012-09-23",11793,7801,3992,6461,2475,1810,2.3,2.1,1.4,1.1,"201239"
"58","2012-09-30",11475,7547,3928,6279,2405,1767,1.8,2,1.1,0.9,"201240"
"59","2012-10-07",11825,7788,4037,6477,2455,1815,1.7,1.7,0.8,0.8,"201241"
"60","2012-10-14",12105,7873,4232,6560,2458,1804,1.8,1.8,1,1.2,"201242"
"61","2013-05-05",13837,8804,5033,7293,2756,1976,1.7,1.9,0.9,1.1,"201319"
"62","2013-05-12",14102,8952,5150,7679,2762,2024,2,2.1,1.1,1,"201320"
"63","2013-05-19",14639,9382,5257,8187,2860,2146,1.8,2.2,1,1.3,"201321"
"64","2013-05-26",14816,9481,5335,8445,2922,2220,2.2,2.7,1.2,1.8,"201322"
"65","2013-06-02",13958,8957,5001,8084,2706,2080,2.5,2.9,1.4,1.8,"201323"
"66","2013-06-09",14502,9325,5177,8405,2856,2195,2.7,2.8,1.5,1.5,"201324"
"67","2013-06-16",14574,9398,5176,8568,2862,2211,2.4,2.5,1.3,1.4,"201325"
"68","2013-06-23",14544,9354,5190,8520,2861,2206,2.6,2.7,1.5,1.4,"201326"
"69","2013-06-30",14295,9254,5041,8503,2828,2186,2.7,3,1.6,1.7,"201327"
"70","2013-07-07",14030,9078,4952,8362,2779,2167,2.5,2.8,1.5,1.5,"201328"
"71","2013-07-14",12900,8350,4550,7683,2517,1944,2.6,2.7,1.4,1.4,"201329"
"72","2013-07-21",14672,9408,5264,8729,2917,2272,2.4,2.1,1.4,1,"201330"
"73","2013-07-28",14782,9540,5242,8793,2963,2313,2.4,2.7,1.5,1.6,"201331"
"74","2013-08-04",14716,9542,5174,8843,3006,2349,2.8,3,1.7,1.6,"201332"
"75","2013-08-11",14799,9547,5252,8859,3072,2394,2.7,3.5,1.7,2.3,"201333"
"76","2013-08-18",14638,9478,5160,8787,3034,2377,3.2,3.9,1.8,2.4,"201334"
